Параметр_N	Количество_нитей	Время_выполнения
100	1	0.000230900011957
10000000	1	0.108121900004335
4000000000	1	68.127729012772242
100	2	0.000405399943702
10000000	2	0.054105599992909
4000000000	2	21.628441100008786
100	4	0.000600300030783
10000000	4	0.027671099989675
4000000000	4	10.793411299935542
100	6	0.000719000003301
10000000	6	0.022676899912767
4000000000	6	7.614544700016268
100	8	0.001126799965277
10000000	8	0.017288499977440
4000000000	8	6.039494600030594
100	10	0.001017199945636
10000000	10	0.014495700015686
4000000000	10	5.765852600103244
100	12	0.001237799995579
10000000	12	0.012035800027661
4000000000	12	4.212874599965289
